Name,id,Country,top_pit_prov,top_pit,pit_300k_state,pit_300k_fed,pit_300k,GDP,Exports,Imports,Exp_US_CDN_Trade_2022,Imp_US_CDN_Trade_2022,gdp_2017,gdp_2018,gdp_2019,gdp_2022,gdp_2023,gdp_2024,pop_2017,pop_2018,pop_2019,pop_2020,pop_2022,pop_2023,pop_2024,pop_2025,cadusd_2022,cadusd_2017,cadusd_2018,ppp_2016,ppp_2018,ppp_2019,ppp_2022,ppp_2023,ppp_2024,medianHH_2016,fed_rev_2017,fed_rev_2019,fed_exp_2017,fed_exp_2018,fed_exp_2019,fed_rev_2023,fed_exp_2023,fed_rev_2024,fed_exp_2024,int_trade_share_2019,covid_cases,gdp_growth_2020
Arizona,US-AZ,USA,0.025,0.395,0.025,0.35,0.375,302952,2138.74703,1321.931311,2777.91939,1958.987517,330146.6,350718.3,370119.1,475654,530105,570088.6,7048088,7164228,7291843,7421401,7359197,7452073,7556424,7623818,1,1,1,1,1,1,1,1,1,52062,51727,47743.166,82812,,,80987,134759,78552.869,98773.30441,,9.842857143,-0.9
Arkansas,US-AR,USA,0.02,0.39,0.02,0.35,0.37,120689,1163.509074,752.522748,1342.947355,1627.825299,122978.5,127761.3,130954.1,165989,178114.8,188339.6,3003855,3012161,3020985,3030522,3045637,3069856,3096080,3114791,1,1,1,1,1,1,1,1,1,42530,19867,30572.215,35129,,,26656,49186,42184.263,31737.33704,,6.1,-2.6
California,US-CA,USA,0.133,0.503,0.113,0.35,0.463,2602672,16237.08003,27784.55672,29960.63252,20341.52501,2831038.4,2975083,3132800.6,3641643,3827007.3,4048108.1,39337785,39437463,39437610,39368078,39029342,39181667,39364774,39355309,1,1,1,1,1,1,1,1,1,65087,435637,472027.235,436092,,,598206,611610,805650.731,444785.4762,,4.657142857,-2.8
Colorado,US-CO,USA,0.044,0.414,0.044,0.35,0.394,323692,1356.83707,2764.779196,8057.984317,1931.936426,348175.5,372452.9,392986,491289,533268.6,557633,5617421,5697155,5758486,5807719,5839926,5912240,5988502,6012561,1,1,1,1,1,1,1,1,1,64598,57991,59961.429,57458,,,86611,92811,86744.001,63514.86794,,30.35714286,-1.5
Connecticut,US-CT,USA,0.0699,0.4399,0.069,0.35,0.419,263379,1636.082481,2902.088314,5143.233908,2699.126049,272569.9,279782.3,287822.2,319345,341851.8,356834.9,3575324,3574561,3566022,3557006,3626205,3641369,3674449,3688496,1,1,1,1,1,1,1,1,1,72121,55482,57092.781,41129,,,66454,77154,69406.258,120666.4045,,20.84285714,-4.1
Delaware,US-DE,USA,0.066,0.436,0.066,0.35,0.416,70387,544.196599,437.793014,1737.861026,501.084587,69899.4,74186.7,77082.4,90208,103332.5,110971.8,957942,966985,976668,986809,1018396,1035354,1050123,1059952,1,1,1,1,1,1,1,1,1,61882,8764,20073.979,11546,,,12623,18178,20531.131,11168.64978,,27.81428571,-3.9
District of Columbia,US-DC,USA,0.1075,0.4775,0.0925,0.35,0.4425,126815,9.050915,68.20262,91.680745,6.416961,132853.6,138773.5,143389.3,165061,174250.7,184298,697079,704147,708253,712816,671803,682559,691310,693645,1,1,1,1,1,1,1,1,1,75991,,27529.823,,,,,,45243.625,,,12.18571429,-1.5
Florida,US-FL,USA,0,0.37,0,0.35,0.35,926817,3501.535932,4293.435178,6724.424674,4923.086652,990096.6,1050298.4,1106500.1,1439065,1624642.3,1726709.9,20977089,21254926,21492056,21733312,22244823,22929248,23265838,23462518,1,1,1,1,1,1,1,1,1,49852,191768,210024.433,237654,,,318706,377664,325423.855,287002.2511,,25.25714286,-2.9
Georgia,US-GA,USA,0.0549,0.4249,0.0549,0.35,0.4049,525360,5856.142815,3996.771018,7035.727853,6929.544195,568398.9,602023.9,625713.6,767378,835755.3,881508.2,10417031,10519389,10628020,10710017,10912876,11063669,11204208,11302748,1,1,1,1,1,1,1,1,1,51753,81039,94305.868,104541,,,118910,162629,144811.636,93921.80762,,12.65714286,-2.5
Hawaii,US-HI,USA,0.11,0.48,0.11,0.35,0.46,83917,66.207842,229.51955,139.903255,27.513779,89618.6,93100.5,95744.3,101083,111740.2,117627.4,1425763,1423102,1415615,1407006,1440196,1434950,1434952,1432820,1,1,1,1,1,1,1,1,1,74451,12405,9246.293,19929,,,16299,31131,11402.789,22022.37123,,5.371428571,-8
